"Part Number","Tariff Code","Hazard/Dangerous Code","Dealer Net Price","Flat Fee","Large Tracks Charge","Regular Tracks Charge","Tires ATV Large Charge","Tires ATV Small Charge","Tires MC Charge","Wheels ATV Charge","Wheels MC Charge"
000038,7320.20.00.20,None,N,Y,N,N,N,N,N,N,N
000048,8483.60.00.90,None,N,Y,N,N,N,N,N,N,N
000058,8205.59.90.00,None,N,Y,N,N,N,N,N,N,N
000067,8205.59.90.00,None,N,Y,N,N,N,N,N,N,N
000123,7315.11.00.00,None,N,Y,N,N,N,N,N,N,N
000124,7315.11.00.00,None,N,Y,N,N,N,N,N,N,N
000199,8483.90.00.10,None,N,Y,N,N,N,N,N,N,N
000484,,None,N,Y,N,N,N,N,N,N,N
000918,8483.90.00.10,None,N,Y,N,N,N,N,N,N,N
008732,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
008810,7320.20.00.20,None,N,Y,N,N,N,N,N,N,N
008850,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
008918,7320.20.00.20,None,N,Y,N,N,N,N,N,N,N
008941,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
008974,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009610,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009675,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009680,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009683,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009684,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009688,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009721,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009722,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009724,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009740,7320.20.00.20,None,N,Y,N,N,N,N,N,N,N
009784,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009786,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009790,7320.20.00.20,None,N,Y,N,N,N,N,N,N,N
009791,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009792,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009797,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
009798,7320.20.00.20,None,N,Y,N,N,N,N,N,N,N
009799,8714.10.00.00,None,N,Y,N,N,N,N,N,N,N
01-0015,8421.23.00.10,None,N,Y,N,N,N,N,N,N,N
01-0018,8421.23.00.10,None,N,Y,N,N,N,N,N,N,N
0100-2072,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2073,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2074,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2075,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2076,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2077,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2078,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2079,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2080,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2081,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2082,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2083,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2084,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2085,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2086,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2087,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2088,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2089,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2090,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2091,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2092,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2093,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2094,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2095,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2096,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2097,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2098,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
01-0021,8421.23.00.10,None,N,Y,N,N,N,N,N,N,N
0100-2221,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2222,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2223,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2225,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2226,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2227,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2228,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2229,6506.10.90.00,NoAir,N,Y,N,N,N,N,N,N,N
0100-2280,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2281,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2282,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2283,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2284,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2285,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2286,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2287,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2288,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2289,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2290,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2291,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
0100-2292,6506.10.90.00,None,N,Y,N,N,N,N,N,N,N
